,forecast_mrr,lower_ci,upper_ci
2025-01-01,452162.1122308561,405683.5697715805,498640.65469013166
2025-02-01,457082.6646701759,410298.7219015029,503866.6074388488
2025-03-01,447176.5399540185,399877.8441871038,494475.2357209332
2025-04-01,483048.02562510973,435249.36767195433,530846.6835782651
2025-05-01,480328.6368890003,432034.81306077546,528622.4607172252
2025-06-01,492494.2245196434,443710.25166754174,541278.1973717451
2025-07-01,493671.780560017,444402.5067399529,542941.0543800811
2025-08-01,506634.1366153676,456884.2631063205,556384.0101244147
2025-09-01,504196.0112183308,453970.09782121505,554421.9246154466
2025-10-01,508006.92805235035,457309.39838978916,558704.4577149116
2025-11-01,533948.0454148063,482783.191582778,585112.8992468347
2025-12-01,519948.39131837845,468320.37790783227,571576.4047289246
